GEOID,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,rent-burden,pct-white,pct-af-am,pct-hispanic,pct-am-ind,pct-asian,pct-nh-pi,pct-multiple,pct-other,eviction-filings,evictions,eviction-rate,eviction-filing-rate,low-flag,imputed,subbed
1203480,2000,Bardmoor,Florida,,,559.79,,,,,,,,,,,,,,23.99,8.99,1.61,4.29,0,0,0
1203480,2001,Bardmoor,Florida,,,573.79,,,,,,,,,,,,,,24.99,10.0,1.74,4.36,0,0,0
1203480,2002,Bardmoor,Florida,,,584.79,,,,,,,,,,,,,,21.99,7.0,1.2,3.76,0,0,0
1203480,2003,Bardmoor,Florida,,,597.79,,,,,,,,,,,,,,19.0,11.0,1.84,3.18,0,0,0
1203480,2004,Bardmoor,Florida,,,610.79,,,,,,,,,,,,,,32.97,9.99,1.64,5.4,0,0,0
1203480,2005,Bardmoor,Florida,,,623.79,,,,,,,,,,,,,,27.99,10.99,1.76,4.49,0,0,0
1203480,2006,Bardmoor,Florida,,,636.79,,,,,,,,,,,,,,27.98,16.99,2.67,4.39,0,0,0
1203480,2007,Bardmoor,Florida,,,649.79,,,,,,,,,,,,,,37.99,25.99,4.0,5.85,0,0,0
1203480,2008,Bardmoor,Florida,,,661.79,,,,,,,,,,,,,,31.99,22.99,3.47,4.83,0,0,0
1203480,2009,Bardmoor,Florida,,,673.79,,,,,,,,,,,,,,28.0,18.0,2.67,4.16,0,0,0
1203480,2010,Bardmoor,Florida,9732.0,9.25,687.79,17.44,1215.0,48607.0,156700.0,33.6,84.09,2.38,7.2,0.32,4.26,0.04,1.56,0.13,37.99,19.99,2.91,5.52,0,0,0
1203480,2011,Bardmoor,Florida,9448.0,10.02,714.78,21.01,1081.0,48270.0,148100.0,28.9,83.39,4.02,6.17,0.08,3.37,0.08,2.71,0.17,40.99,28.0,3.92,5.73,0,0,0
1203480,2012,Bardmoor,Florida,9448.0,10.02,740.77,21.01,1081.0,48270.0,148100.0,28.9,83.39,4.02,6.17,0.08,3.37,0.08,2.71,0.17,43.99,26.99,3.64,5.94,0,0,0
1203480,2013,Bardmoor,Florida,9448.0,10.02,769.76,21.01,1081.0,48270.0,148100.0,28.9,83.39,4.02,6.17,0.08,3.37,0.08,2.71,0.17,53.98,36.99,4.81,7.01,0,0,0
1203480,2014,Bardmoor,Florida,9448.0,10.02,795.76,21.01,1081.0,48270.0,148100.0,28.9,83.39,4.02,6.17,0.08,3.37,0.08,2.71,0.17,66.0,40.0,5.03,8.29,0,0,0
1203480,2015,Bardmoor,Florida,9448.0,10.02,821.75,21.01,1081.0,48270.0,148100.0,28.9,83.39,4.02,6.17,0.08,3.37,0.08,2.71,0.17,40.99,22.99,2.8,4.99,0,0,0
1203480,2016,Bardmoor,Florida,9448.0,10.02,848.74,21.01,1081.0,48270.0,148100.0,28.9,83.39,4.02,6.17,0.08,3.37,0.08,2.71,0.17,42.99,18.0,2.12,5.07,0,0,0
1204200,2000,Bay Pines,Florida,3065.0,3.48,240.62,8.4,533.0,32456.0,94000.0,27.1,95.92,0.23,2.35,0.2,0.46,0.0,0.72,0.13,14.96,6.79,2.82,6.22,0,0,0
1204200,2001,Bay Pines,Florida,3065.0,3.48,246.03,8.4,533.0,32456.0,94000.0,27.1,95.92,0.23,2.35,0.2,0.46,0.0,0.72,0.13,9.58,3.86,1.57,3.89,0,0,0
1204200,2002,Bay Pines,Florida,3065.0,3.48,250.91,8.4,533.0,32456.0,94000.0,27.1,95.92,0.23,2.35,0.2,0.46,0.0,0.72,0.13,20.26,9.22,3.67,8.08,0,0,0
1204200,2003,Bay Pines,Florida,3065.0,3.48,255.94,8.4,533.0,32456.0,94000.0,27.1,95.92,0.23,2.35,0.2,0.46,0.0,0.72,0.13,17.19,8.62,3.37,6.72,0,0,0
1204200,2004,Bay Pines,Florida,3065.0,3.48,261.66,8.4,533.0,32456.0,94000.0,27.1,95.92,0.23,2.35,0.2,0.46,0.0,0.72,0.13,19.4,9.77,3.74,7.42,0,0,0
1204200,2005,Bay Pines,Florida,2645.0,5.87,268.03,9.74,1253.0,45972.0,165000.0,50.0,97.58,0.34,0.72,0.79,0.0,0.0,0.0,0.57,21.6,11.27,4.21,8.06,0,0,0
1204200,2006,Bay Pines,Florida,2645.0,5.87,272.6,9.74,1253.0,45972.0,165000.0,50.0,97.58,0.34,0.72,0.79,0.0,0.0,0.0,0.57,83.73,31.49,11.55,30.72,0,0,0
1204200,2007,Bay Pines,Florida,2645.0,5.87,278.32,9.74,1253.0,45972.0,165000.0,50.0,97.58,0.34,0.72,0.79,0.0,0.0,0.0,0.57,14.59,10.83,3.89,5.24,0,0,0
1204200,2008,Bay Pines,Florida,2645.0,5.87,283.34,9.74,1253.0,45972.0,165000.0,50.0,97.58,0.34,0.72,0.79,0.0,0.0,0.0,0.57,11.43,5.27,1.86,4.03,0,0,0
1204200,2009,Bay Pines,Florida,2645.0,5.87,288.23,9.74,1253.0,45972.0,165000.0,50.0,97.58,0.34,0.72,0.79,0.0,0.0,0.0,0.57,11.78,5.88,2.04,4.09,0,0,0
1204200,2010,Bay Pines,Florida,2931.0,5.45,293.63,16.33,692.0,46641.0,136200.0,42.5,91.54,2.59,3.51,0.14,0.82,0.03,1.19,0.17,14.26,10.68,3.64,4.86,0,0,0
1204200,2011,Bay Pines,Florida,3240.0,6.24,306.03,14.63,934.0,49792.0,123900.0,41.7,91.39,1.05,1.76,0.4,4.66,0.0,0.74,0.0,7.44,3.83,1.25,2.43,0,0,0
1204200,2012,Bay Pines,Florida,3240.0,6.24,317.54,14.63,934.0,49792.0,123900.0,41.7,91.39,1.05,1.76,0.4,4.66,0.0,0.74,0.0,8.89,5.53,1.74,2.8,0,0,0
1204200,2013,Bay Pines,Florida,3240.0,6.24,330.77,14.63,934.0,49792.0,123900.0,41.7,91.39,1.05,1.76,0.4,4.66,0.0,0.74,0.0,12.49,7.15,2.16,3.78,0,0,0
1204200,2014,Bay Pines,Florida,3240.0,6.24,342.86,14.63,934.0,49792.0,123900.0,41.7,91.39,1.05,1.76,0.4,4.66,0.0,0.74,0.0,14.4,7.1,2.07,4.2,0,0,0
1204200,2015,Bay Pines,Florida,3240.0,6.24,354.67,14.63,934.0,49792.0,123900.0,41.7,91.39,1.05,1.76,0.4,4.66,0.0,0.74,0.0,16.67,8.68,2.45,4.7,0,0,0
1204200,2016,Bay Pines,Florida,3240.0,6.24,366.76,14.63,934.0,49792.0,123900.0,41.7,91.39,1.05,1.76,0.4,4.66,0.0,0.74,0.0,7.07,4.83,1.32,1.93,0,0,0
1204735,2000,Bear Creek,Florida,,,350.12,,,,,,,,,,,,,,3.41,1.6,0.46,0.97,0,0,0
1204735,2001,Bear Creek,Florida,,,349.64,,,,,,,,,,,,,,4.77,1.05,0.3,1.36,0,0,0
1204735,2002,Bear Creek,Florida,,,349.0,,,,,,,,,,,,,,7.95,2.88,0.83,2.28,0,0,0
1204735,2003,Bear Creek,Florida,,,348.53,,,,,,,,,,,,,,3.14,0.93,0.27,0.9,0,0,0
1204735,2004,Bear Creek,Florida,,,347.89,,,,,,,,,,,,,,10.81,3.78,1.09,3.11,0,0,0
1204735,2005,Bear Creek,Florida,,,347.42,,,,,,,,,,,,,,6.78,1.76,0.51,1.95,0,0,0
1204735,2006,Bear Creek,Florida,,,346.79,,,,,,,,,,,,,,5.35,0.81,0.23,1.54,0,0,0
1204735,2007,Bear Creek,Florida,,,346.3,,,,,,,,,,,,,,6.72,5.02,1.45,1.94,0,0,0
1204735,2008,Bear Creek,Florida,,,345.68,,,,,,,,,,,,,,9.4,7.17,2.07,2.72,0,0,0
1204735,2009,Bear Creek,Florida,,,345.19,,,,,,,,,,,,,,7.61,5.17,1.5,2.2,0,0,0
1204735,2010,Bear Creek,Florida,1948.0,11.69,344.56,30.07,1135.0,36688.0,189600.0,34.9,89.78,2.05,4.36,0.26,2.05,0.0,1.23,0.26,3.95,3.15,0.91,1.15,0,0,0
1204735,2011,Bear Creek,Florida,1840.0,14.39,355.33,27.92,1123.0,40179.0,211600.0,37.5,85.43,4.73,3.37,0.0,5.6,0.0,0.87,0.0,2.23,0.27,0.08,0.63,0,0,0
1204735,2012,Bear Creek,Florida,1840.0,14.39,364.74,27.92,1123.0,40179.0,211600.0,37.5,85.43,4.73,3.37,0.0,5.6,0.0,0.87,0.0,6.69,3.71,1.02,1.83,0,0,0
1204735,2013,Bear Creek,Florida,1840.0,14.39,375.57,27.92,1123.0,40179.0,211600.0,37.5,85.43,4.73,3.37,0.0,5.6,0.0,0.87,0.0,6.59,4.44,1.18,1.75,0,0,0
1204735,2014,Bear Creek,Florida,1840.0,14.39,385.61,27.92,1123.0,40179.0,211600.0,37.5,85.43,4.73,3.37,0.0,5.6,0.0,0.87,0.0,8.95,2.3,0.6,2.32,0,0,0
1204735,2015,Bear Creek,Florida,1840.0,14.39,395.75,27.92,1123.0,40179.0,211600.0,37.5,85.43,4.73,3.37,0.0,5.6,0.0,0.87,0.0,11.15,6.59,1.67,2.82,0,0,0
1204735,2016,Bear Creek,Florida,1840.0,14.39,405.78,27.92,1123.0,40179.0,211600.0,37.5,85.43,4.73,3.37,0.0,5.6,0.0,0.87,0.0,6.8,4.44,1.09,1.67,0,0,0
1205075,2000,Belleair,Florida,4067.0,3.95,235.97,11.81,791.0,63267.0,242100.0,27.3,96.26,0.15,2.53,0.12,0.39,0.0,0.54,0.0,0.72,0.18,0.08,0.31,0,0,0
1205075,2001,Belleair,Florida,4067.0,3.95,239.97,11.81,791.0,63267.0,242100.0,27.3,96.26,0.15,2.53,0.12,0.39,0.0,0.54,0.0,3.4,1.11,0.46,1.42,0,0,0
1205075,2002,Belleair,Florida,4067.0,3.95,243.01,11.81,791.0,63267.0,242100.0,27.3,96.26,0.15,2.53,0.12,0.39,0.0,0.54,0.0,4.47,2.18,0.9,1.84,0,0,0
1205075,2003,Belleair,Florida,4067.0,3.95,248.01,11.81,791.0,63267.0,242100.0,27.3,96.26,0.15,2.53,0.12,0.39,0.0,0.54,0.0,3.69,0.18,0.07,1.49,0,0,0
1205075,2004,Belleair,Florida,4067.0,3.95,253.01,11.81,791.0,63267.0,242100.0,27.3,96.26,0.15,2.53,0.12,0.39,0.0,0.54,0.0,6.9,1.18,0.47,2.73,0,0,0
1205075,2005,Belleair,Florida,4097.0,1.97,257.01,11.8,1082.0,80938.0,379300.0,38.1,92.43,0.85,3.25,0.0,2.68,0.0,0.0,0.78,1.51,0.29,0.11,0.59,0,0,0
1205075,2006,Belleair,Florida,4097.0,1.97,259.04,11.8,1082.0,80938.0,379300.0,38.1,92.43,0.85,3.25,0.0,2.68,0.0,0.0,0.78,7.65,2.51,0.97,2.95,0,0,0
1205075,2007,Belleair,Florida,4097.0,1.97,264.04,11.8,1082.0,80938.0,379300.0,38.1,92.43,0.85,3.25,0.0,2.68,0.0,0.0,0.78,5.32,0.22,0.08,2.02,0,0,0
1205075,2008,Belleair,Florida,4097.0,1.97,269.04,11.8,1082.0,80938.0,379300.0,38.1,92.43,0.85,3.25,0.0,2.68,0.0,0.0,0.78,7.76,2.54,0.94,2.88,0,0,0
1205075,2009,Belleair,Florida,4097.0,1.97,272.08,11.8,1082.0,80938.0,379300.0,38.1,92.43,0.85,3.25,0.0,2.68,0.0,0.0,0.78,4.79,1.43,0.53,1.76,0,0,0
1205075,2010,Belleair,Florida,3869.0,1.4,276.08,14.93,1213.0,73393.0,362100.0,38.0,93.51,0.8,3.26,0.05,1.55,0.0,0.72,0.1,6.4,3.36,1.22,2.32,0,0,0
1205075,2011,Belleair,Florida,3941.0,1.68,286.19,16.7,1230.0,70691.0,315600.0,23.9,90.64,1.34,5.58,0.0,2.44,0.0,0.0,0.0,2.87,2.65,0.93,1.0,0,0,0
1205075,2012,Belleair,Florida,3941.0,1.68,295.29,16.7,1230.0,70691.0,315600.0,23.9,90.64,1.34,5.58,0.0,2.44,0.0,0.0,0.0,1.97,0.69,0.23,0.67,0,0,0
1205075,2013,Belleair,Florida,3941.0,1.68,306.4,16.7,1230.0,70691.0,315600.0,23.9,90.64,1.34,5.58,0.0,2.44,0.0,0.0,0.0,5.97,2.76,0.9,1.95,0,0,0
1205075,2014,Belleair,Florida,3941.0,1.68,315.51,16.7,1230.0,70691.0,315600.0,23.9,90.64,1.34,5.58,0.0,2.44,0.0,0.0,0.0,1.94,1.43,0.45,0.61,0,0,0
1205075,2015,Belleair,Florida,3941.0,1.68,325.62,16.7,1230.0,70691.0,315600.0,23.9,90.64,1.34,5.58,0.0,2.44,0.0,0.0,0.0,4.47,1.4,0.43,1.37,0,0,0
1205075,2016,Belleair,Florida,3941.0,1.68,334.73,16.7,1230.0,70691.0,315600.0,23.9,90.64,1.34,5.58,0.0,2.44,0.0,0.0,0.0,11.13,4.83,1.44,3.32,0,0,0
1205100,2000,Belleair Beach,Florida,1751.0,7.83,97.16,12.36,984.0,63529.0,264900.0,23.6,94.29,0.23,2.86,0.17,1.37,0.11,0.97,0.0,0.95,0.0,0.0,0.98,0,0,0
1205100,2001,Belleair Beach,Florida,1751.0,7.83,95.26,12.36,984.0,63529.0,264900.0,23.6,94.29,0.23,2.86,0.17,1.37,0.11,0.97,0.0,0.95,0.0,0.0,1.0,0,0,0
1205100,2002,Belleair Beach,Florida,1751.0,7.83,93.35,12.36,984.0,63529.0,264900.0,23.6,94.29,0.23,2.86,0.17,1.37,0.11,0.97,0.0,3.81,0.95,1.02,4.08,0,0,0
1205100,2003,Belleair Beach,Florida,1751.0,7.83,92.4,12.36,984.0,63529.0,264900.0,23.6,94.29,0.23,2.86,0.17,1.37,0.11,0.97,0.0,3.81,1.91,2.06,4.12,0,0,0
1205100,2004,Belleair Beach,Florida,1751.0,7.83,90.5,12.36,984.0,63529.0,264900.0,23.6,94.29,0.23,2.86,0.17,1.37,0.11,0.97,0.0,6.67,0.95,1.05,7.37,0,0,0
1205100,2005,Belleair Beach,Florida,1295.0,2.83,88.59,7.38,1722.0,90000.0,640500.0,35.8,95.83,0.0,2.16,0.0,2.01,0.0,0.0,0.0,0.95,0.0,0.0,1.08,0,0,0
1205100,2006,Belleair Beach,Florida,1295.0,2.83,86.69,7.38,1722.0,90000.0,640500.0,35.8,95.83,0.0,2.16,0.0,2.01,0.0,0.0,0.0,2.86,1.91,2.2,3.3,0,0,0
1205100,2007,Belleair Beach,Florida,1295.0,2.83,84.78,7.38,1722.0,90000.0,640500.0,35.8,95.83,0.0,2.16,0.0,2.01,0.0,0.0,0.0,4.76,0.95,1.12,5.62,0,0,0
1205100,2008,Belleair Beach,Florida,1295.0,2.83,83.83,7.38,1722.0,90000.0,640500.0,35.8,95.83,0.0,2.16,0.0,2.01,0.0,0.0,0.0,4.76,2.86,3.41,5.68,0,0,0
1205100,2009,Belleair Beach,Florida,1295.0,2.83,81.92,7.38,1722.0,90000.0,640500.0,35.8,95.83,0.0,2.16,0.0,2.01,0.0,0.0,0.0,2.86,1.91,2.33,3.49,0,0,0
1205100,2010,Belleair Beach,Florida,1560.0,5.19,80.02,10.55,1848.0,73750.0,564400.0,47.9,92.63,0.38,3.72,0.06,1.03,0.0,1.92,0.26,0.95,0.95,1.19,1.19,0,0,0
1205100,2011,Belleair Beach,Florida,1685.0,3.69,81.92,15.49,2223.0,91250.0,562100.0,24.5,92.58,1.78,2.61,0.0,3.03,0.0,0.0,0.0,2.86,1.91,2.33,3.49,0,0,0
1205100,2012,Belleair Beach,Florida,1685.0,3.69,84.78,15.49,2223.0,91250.0,562100.0,24.5,92.58,1.78,2.61,0.0,3.03,0.0,0.0,0.0,0.95,0.95,1.12,1.12,0,0,0
1205100,2013,Belleair Beach,Florida,1685.0,3.69,86.69,15.49,2223.0,91250.0,562100.0,24.5,92.58,1.78,2.61,0.0,3.03,0.0,0.0,0.0,3.81,2.86,3.3,4.4,0,0,0
1205100,2014,Belleair Beach,Florida,1685.0,3.69,88.59,15.49,2223.0,91250.0,562100.0,24.5,92.58,1.78,2.61,0.0,3.03,0.0,0.0,0.0,1.91,0.95,1.08,2.15,0,0,0
1205100,2015,Belleair Beach,Florida,1685.0,3.69,91.45,15.49,2223.0,91250.0,562100.0,24.5,92.58,1.78,2.61,0.0,3.03,0.0,0.0,0.0,1.91,0.0,0.0,2.08,0,0,0
1205100,2016,Belleair Beach,Florida,1685.0,3.69,93.35,15.49,2223.0,91250.0,562100.0,24.5,92.58,1.78,2.61,0.0,3.03,0.0,0.0,0.0,2.86,1.91,2.04,3.06,0,0,0
1205125,2000,Belleair Bluffs,Florida,2243.0,6.15,279.87,31.65,539.0,32528.0,127600.0,24.6,96.83,0.18,1.25,0.0,0.98,0.0,0.62,0.13,3.43,1.84,0.66,1.23,0,0,0
1205125,2001,Belleair Bluffs,Florida,2243.0,6.15,284.59,31.65,539.0,32528.0,127600.0,24.6,96.83,0.18,1.25,0.0,0.98,0.0,0.62,0.13,5.17,0.94,0.33,1.82,0,0,0
1205125,2002,Belleair Bluffs,Florida,2243.0,6.15,289.63,31.65,539.0,32528.0,127600.0,24.6,96.83,0.18,1.25,0.0,0.98,0.0,0.62,0.13,14.43,5.09,1.76,4.98,0,0,0
1205125,2003,Belleair Bluffs,Florida,2243.0,6.15,295.35,31.65,539.0,32528.0,127600.0,24.6,96.83,0.18,1.25,0.0,0.98,0.0,0.62,0.13,8.44,3.04,1.03,2.86,0,0,0
1205125,2004,Belleair Bluffs,Florida,2243.0,6.15,300.06,31.65,539.0,32528.0,127600.0,24.6,96.83,0.18,1.25,0.0,0.98,0.0,0.62,0.13,14.6,3.28,1.09,4.87,0,0,0
1205125,2005,Belleair Bluffs,Florida,2344.0,8.21,305.1,37.47,825.0,39702.0,214900.0,31.5,89.8,0.0,6.06,0.3,2.69,0.47,0.68,0.0,8.74,3.7,1.21,2.86,0,0,0
1205125,2006,Belleair Bluffs,Florida,2344.0,8.21,309.82,37.47,825.0,39702.0,214900.0,31.5,89.8,0.0,6.06,0.3,2.69,0.47,0.68,0.0,6.48,3.02,0.97,2.09,0,0,0
1205125,2007,Belleair Bluffs,Florida,2344.0,8.21,314.54,37.47,825.0,39702.0,214900.0,31.5,89.8,0.0,6.06,0.3,2.69,0.47,0.68,0.0,8.41,5.27,1.67,2.68,0,0,0
1205125,2008,Belleair Bluffs,Florida,2344.0,8.21,320.26,37.47,825.0,39702.0,214900.0,31.5,89.8,0.0,6.06,0.3,2.69,0.47,0.68,0.0,9.84,5.73,1.79,3.07,0,0,0
1205125,2009,Belleair Bluffs,Florida,2344.0,8.21,325.3,37.47,825.0,39702.0,214900.0,31.5,89.8,0.0,6.06,0.3,2.69,0.47,0.68,0.0,5.06,2.21,0.68,1.56,0,0,0
1205125,2010,Belleair Bluffs,Florida,2031.0,12.69,330.02,35.48,912.0,38262.0,195200.0,30.4,91.97,0.79,4.87,0.2,1.28,0.1,0.64,0.15,5.38,5.06,1.53,1.63,0,0,0
1205125,2011,Belleair Bluffs,Florida,2236.0,7.79,339.77,33.19,895.0,46000.0,167400.0,28.6,93.65,1.74,2.33,0.72,0.67,0.0,0.89,0.0,6.47,2.82,0.83,1.9,0,0,0
1205125,2012,Belleair Bluffs,Florida,2236.0,7.79,348.09,33.19,895.0,46000.0,167400.0,28.6,93.65,1.74,2.33,0.72,0.67,0.0,0.89,0.0,11.41,4.52,1.3,3.28,0,0,0
1205125,2013,Belleair Bluffs,Florida,2236.0,7.79,357.84,33.19,895.0,46000.0,167400.0,28.6,93.65,1.74,2.33,0.72,0.67,0.0,0.89,0.0,15.18,9.23,2.58,4.24,0,0,0
1205125,2014,Belleair Bluffs,Florida,2236.0,7.79,366.38,33.19,895.0,46000.0,167400.0,28.6,93.65,1.74,2.33,0.72,0.67,0.0,0.89,0.0,16.67,7.53,2.06,4.55,0,0,0
1205125,2015,Belleair Bluffs,Florida,2236.0,7.79,375.81,33.19,895.0,46000.0,167400.0,28.6,93.65,1.74,2.33,0.72,0.67,0.0,0.89,0.0,8.19,2.67,0.71,2.18,0,0,0
1205125,2016,Belleair Bluffs,Florida,2236.0,7.79,384.46,33.19,895.0,46000.0,167400.0,28.6,93.65,1.74,2.33,0.72,0.67,0.0,0.89,0.0,8.35,4.18,1.09,2.17,0,0,0
1205150,2000,Belleair Shore,Florida,0.0,0.0,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.98,0,0,0
1205150,2001,Belleair Shore,Florida,0.0,0.0,4.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,1.0,0,0,0
1205150,2002,Belleair Shore,Florida,0.0,0.0,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.05,1.02,4.08,0,0,0
1205150,2003,Belleair Shore,Florida,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.09,2.06,4.12,0,0,0
1205150,2004,Belleair Shore,Florida,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.05,1.05,7.37,0,0,0
1205150,2005,Belleair Shore,Florida,60.0,0.0,4.41,4.0,,125313.0,1000001.0,,96.67,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,1.08,0,0,0
1205150,2006,Belleair Shore,Florida,60.0,0.0,4.31,4.0,,125313.0,1000001.0,,96.67,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.14,0.09,2.2,3.3,0,0,0
1205150,2007,Belleair Shore,Florida,60.0,0.0,4.22,4.0,,125313.0,1000001.0,,96.67,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.24,0.05,1.12,5.62,0,0,0
1205150,2008,Belleair Shore,Florida,60.0,0.0,4.17,4.0,,125313.0,1000001.0,,96.67,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.24,0.14,3.41,5.68,0,0,0
1205150,2009,Belleair Shore,Florida,60.0,0.0,4.08,4.0,,125313.0,1000001.0,,96.67,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.14,0.09,2.33,3.49,0,0,0
1205150,2010,Belleair Shore,Florida,109.0,0.0,3.98,11.11,,134821.0,1000001.0,,80.73,0.92,4.59,0.0,1.83,0.0,11.93,0.0,0.05,0.05,1.19,1.19,0,0,0
1205150,2011,Belleair Shore,Florida,62.0,0.0,4.08,0.0,,216250.0,2000001.0,,88.71,0.0,4.84,0.0,6.45,0.0,0.0,0.0,0.14,0.09,2.33,3.49,0,0,0
1205150,2012,Belleair Shore,Florida,62.0,0.0,4.22,0.0,,216250.0,2000001.0,,88.71,0.0,4.84,0.0,6.45,0.0,0.0,0.0,0.05,0.05,1.12,1.12,0,0,0
1205150,2013,Belleair Shore,Florida,62.0,0.0,4.31,0.0,,216250.0,2000001.0,,88.71,0.0,4.84,0.0,6.45,0.0,0.0,0.0,0.19,0.14,3.3,4.4,0,0,0
1205150,2014,Belleair Shore,Florida,62.0,0.0,4.41,0.0,,216250.0,2000001.0,,88.71,0.0,4.84,0.0,6.45,0.0,0.0,0.0,0.09,0.05,1.08,2.15,0,0,0
1205150,2015,Belleair Shore,Florida,62.0,0.0,4.55,0.0,,216250.0,2000001.0,,88.71,0.0,4.84,0.0,6.45,0.0,0.0,0.0,0.09,0.0,0.0,2.08,0,0,0
1205150,2016,Belleair Shore,Florida,62.0,0.0,4.65,0.0,,216250.0,2000001.0,,88.71,0.0,4.84,0.0,6.45,0.0,0.0,0.0,0.14,0.09,2.04,3.06,0,0,0
1212875,2000,Clearwater,Florida,108787.0,12.35,18319.3,37.88,637.0,36494.0,100500.0,27.3,78.15,9.52,8.97,0.2,1.62,0.06,1.33,0.15,1218.61,426.0,2.33,6.65,0,0,0
1212875,2001,Clearwater,Florida,108787.0,12.35,18440.65,37.88,637.0,36494.0,100500.0,27.3,78.15,9.52,8.97,0.2,1.62,0.06,1.33,0.15,1126.43,395.83,2.15,6.11,0,0,0
1212875,2002,Clearwater,Florida,108787.0,12.35,18556.34,37.88,637.0,36494.0,100500.0,27.3,78.15,9.52,8.97,0.2,1.62,0.06,1.33,0.15,1419.89,555.19,2.99,7.65,0,0,0
1212875,2003,Clearwater,Florida,108787.0,12.35,18678.95,37.88,637.0,36494.0,100500.0,27.3,78.15,9.52,8.97,0.2,1.62,0.06,1.33,0.15,1464.56,652.48,3.49,7.84,0,0,0
1212875,2004,Clearwater,Florida,108787.0,12.35,18788.69,37.88,637.0,36494.0,100500.0,27.3,78.15,9.52,8.97,0.2,1.62,0.06,1.33,0.15,1691.25,666.86,3.55,9.0,0,0,0
1212875,2005,Clearwater,Florida,106695.0,11.27,18930.11,37.82,891.0,42465.0,193700.0,33.2,73.49,10.28,12.4,0.23,1.55,0.36,1.49,0.2,1297.92,771.02,4.07,6.86,0,0,0
1212875,2006,Clearwater,Florida,106695.0,11.27,19024.62,37.82,891.0,42465.0,193700.0,33.2,73.49,10.28,12.4,0.23,1.55,0.36,1.49,0.2,1224.13,727.63,3.82,6.43,0,0,0
1212875,2007,Clearwater,Florida,106695.0,11.27,19149.94,37.82,891.0,42465.0,193700.0,33.2,73.49,10.28,12.4,0.23,1.55,0.36,1.49,0.2,1223.74,740.87,3.87,6.39,0,0,0
1212875,2008,Clearwater,Florida,106695.0,11.27,19258.56,37.82,891.0,42465.0,193700.0,33.2,73.49,10.28,12.4,0.23,1.55,0.36,1.49,0.2,1101.67,683.81,3.55,5.72,0,0,0
1212875,2009,Clearwater,Florida,106695.0,11.27,19384.43,37.82,891.0,42465.0,193700.0,33.2,73.49,10.28,12.4,0.23,1.55,0.36,1.49,0.2,1063.8,631.51,3.26,5.49,0,0,0
1212875,2010,Clearwater,Florida,107685.0,11.14,19494.6,41.16,954.0,42427.0,166300.0,35.2,71.07,10.46,14.16,0.22,2.09,0.12,1.68,0.2,993.11,668.93,3.43,5.09,0,0,0
1212875,2011,Clearwater,Florida,110381.0,11.01,19989.51,41.67,953.0,44198.0,156400.0,34.7,70.42,10.97,13.88,0.24,2.24,0.12,2.05,0.07,995.44,675.33,3.38,4.98,0,0,0
1212875,2012,Clearwater,Florida,110381.0,11.01,20470.54,41.67,953.0,44198.0,156400.0,34.7,70.42,10.97,13.88,0.24,2.24,0.12,2.05,0.07,1186.26,733.59,3.58,5.79,0,0,0
